Transect,Site,Habitat,Ecklonia_radiata,Macroalgae,Turf_CCA,Other_invertebrates,Plate_coral,Branching_coral,Columnar_coral,Colony_corals,Foliose_coral,Soft_coral,Sponges_tunicates,Rock_sand
1,Split_Bommie,Midshelf,0,0,40,2,0,1,0,27,20,0,35,0
2,Split_Bommie,Midshelf,0,0,56,0,0,0,0,35,24,0,10,0
3,Split_Bommie,Midshelf,0,7,56,0,0,1,2,16,25,0,18,0
4,Split_Bommie,Midshelf,0,1,42,0,0,1,1,25,40,0,15,0
1,Split_Island,Midshelf,0,1,51,0,0,5,21,20,18,0,9,0
2,Split_Island,Midshelf,0,5,17,0,0,5,5,32,42,4,9,6
3,Split_Island,Midshelf,0,1,39,0,0,1,9,42,20,0,13,0
4,Split_Island,Midshelf,0,2,51,0,0,0,9,21,22,1,5,14
1,McAuleys,Inshore,89,9,4,0,0,0,0,0,0,0,15,8
2,McAuleys,Inshore,46,20,21,0,0,0,0,0,0,0,28,10
3,McAuleys,Inshore,91,7,7,0,0,0,0,0,0,0,9,11
4,McAuleys,Inshore,104,7,6,0,0,0,0,0,0,0,6,2
1,North_Solitary,Offshore,0,2,49,0,0,1,3,3,8,38,2,19
2,North_Solitary,Offshore,0,0,27,1,4,3,8,14,4,51,1,12
3,North_Solitary,Offshore,0,0,47,9,1,1,8,6,3,39,0,11
4,North_Solitary,Offshore,0,0,42,3,2,5,8,13,3,37,0,12
1,Bare_Bluff,Inshore,105,9,0,0,0,0,0,0,0,0,11,0
2,Bare_Bluff,Inshore,39,18,18,0,0,0,0,0,0,0,27,23
3,Bare_Bluff,Inshore,100,11,3,0,0,0,0,0,0,0,10,1
4,Bare_Bluff,Inshore,80,17,0,0,0,0,0,0,0,0,13,15
1,South_Solitary,Offshore,0,76,15,7,2,0,0,0,0,0,25,0
2,South_Solitary,Offshore,0,45,39,9,8,0,0,3,2,1,18,0
3,South_Solitary,Offshore,0,75,31,2,1,0,0,3,1,0,12,0
4,South_Solitary,Offshore,0,37,32,9,7,0,4,12,2,0,22,0
1,Look_at_me_now,Inshore,101,13,2,1,0,0,0,0,0,0,8,0
2,Look_at_me_now,Inshore,49,15,10,0,0,0,0,0,0,0,48,3
3,Look_at_me_now,Inshore,97,13,1,1,0,0,0,0,0,0,13,0
4,Look_at_me_now,Inshore,90,9,2,0,0,0,0,0,0,0,13,11
1,Flat_top,Inshore,117,5,0,0,0,0,0,0,0,0,3,0
2,Flat_top,Inshore,101,18,2,0,0,0,0,0,0,0,4,0
3,Flat_top,Inshore,106,13,1,0,0,0,0,0,0,0,5,0
4,Flat_top,Inshore,113,4,4,0,0,0,0,0,0,0,4,0
